Compartment,Age of forest,LoggingRotation,Leaflitter1,Leaflitter2,Leaflitter3,Leaflitter4,Leaflitter5,Leaflitter6,Leaflitter7,Leaflitter8,Leaflitter9,Leaflitter10,Leaflitter11,CanopyClosure1,CanopyClosure2,CanopyClosure3,CanopyClosure4,CanopyClosure5,CanopyClosure6,CanopyClosure7,CanopyClosure8,CanopyClosure9,CanopyClosure10,CanopyClosure11,CanopyClosure12,HerbHeight1,HerbHeight2,HerbHeight3,HerbHeight4,HerbHeight5,HerbHeight6
PS26,NA,NA,4,3,4,3,2,2,4,2,3,5,4,100,75,83,92,87,87,96,92,96,100,96,100,120,120,90,150,100,90
PS26,NA,NA,4,4,3,6,5,5,2,5,9,6,4,100,100,96,100,100,96,100,100,100,87,96,96,90,0,90,70,60,70
PS26,NA,NA,3,3,2,3,3,3,3,2,2,1,2,100,100,87,87,100,100,79,100,87,96,100,96,110,130,30,100,40,60
PS26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PS26,NA,NA,6,4,6,4,3,3,4,NA,NA,NA,NA,92,92,92,83,79,100,100,75,NA,NA,NA,NA,60,150,50,140,NA,NA
PS26,NA,NA,2,2,3,2,2,3,5,NA,NA,NA,NA,100,100,50,83,100,96,67,87,NA,NA,NA,NA,90,30,70,20,NA,NA
PS26,NA,NA,5,3,4,3,3,4,3,NA,NA,NA,NA,96,100,87,83,100,100,92,100,NA,NA,NA,NA,110,100,110,90,NA,NA
PS26,NA,NA,3,3,3,5,2,2,2,NA,NA,NA,NA,96,87,92,100,83,92,96,83,NA,NA,NA,NA,90,60,150,150,NA,NA
PS26,NA,NA,3,2,1,2,3,3,2,NA,NA,NA,NA,92,100,96,96,100,87,79,100,NA,NA,NA,NA,40,60,120,130,NA,NA
PS26,NA,NA,2,3,2,4,2,2,3,NA,NA,NA,NA,100,96,96,79,100,100,100,100,NA,NA,NA,NA,40,130,130,30,NA,NA
JU100,NA,NA,3,3,2,3,3,4,4,NA,NA,NA,NA,83,100,79,87,79,67,92,100,NA,NA,NA,NA,110,70,80,110,NA,NA
JU100,NA,NA,3,3,3,3,3,4,2,NA,NA,NA,NA,100,92,100,87,96,100,96,79,NA,NA,NA,NA,50,30,130,20,NA,NA
JU100,NA,NA,3,3,2,3,4,3,3,NA,NA,NA,NA,83,92,79,79,96,83,79,87,NA,NA,NA,NA,70,110,50,50,NA,NA
JU100,NA,NA,4,4,2,2,5,2,2,NA,NA,NA,NA,100,100,100,75,83,79,100,96,NA,NA,NA,NA,80,40,60,30,NA,NA
JU100,NA,NA,2,2,3,3,3,4,3,NA,NA,NA,NA,96,79,87,83,83,75,96,83,NA,NA,NA,NA,40,60,50,60,NA,NA
JU100,NA,NA,4,3,4,5,3,2,2,NA,NA,NA,NA,96,100,100,96,92,100,87,100,NA,NA,NA,NA,100,40,90,50,NA,NA
JU100,NA,NA,5,7,3,3,2,2,3,NA,NA,NA,NA,50,79,92,92,75,83,87,100,NA,NA,NA,NA,60,40,50,30,NA,NA
JU100,NA,NA,3,4,3,3,3,4,4,NA,NA,NA,NA,100,92,92,75,96,83,83,92,NA,NA,NA,NA,40,80,30,70,NA,NA
JU100,NA,NA,4,3,4,6,6,3,4,NA,NA,NA,NA,96,87,96,92,92,96,100,96,NA,NA,NA,NA,40,110,40,100,NA,NA
JU100,NA,NA,6,4,3,5,4,3,3,NA,NA,NA,NA,100,100,96,100,100,62,92,100,NA,NA,NA,NA,60,90,30,0,NA,NA
JU100,NA,NA,5,3,3,3,4,4,3,NA,NA,NA,NA,100,87,75,92,96,100,100,100,NA,NA,NA,NA,50,120,40,40,NA,NA
UTT27,NA,NA,3,4,4,4,3,3,2,NA,NA,NA,NA,100,83,75,100,87,75,87,75,NA,NA,NA,NA,50,40,NA,NA,NA,NA
UTT27,NA,NA,2,6,3,3,2,4,3,NA,NA,NA,NA,92,100,100,50,100,92,62,92,NA,NA,NA,NA,80,120,80,60,NA,NA
UTT27,NA,NA,11,5,6,6,8,5,6,NA,NA,NA,NA,100,100,79,100,87,100,100,79,NA,NA,NA,NA,70,80,110,50,NA,NA
UTT27,NA,NA,3,3,2,3,3,2,2,NA,NA,NA,NA,100,67,58,100,100,96,96,100,NA,NA,NA,NA,80,80,70,70,NA,NA
UTT27,NA,NA,2,3,3,5,4,3,3,NA,NA,NA,NA,100,87,87,92,83,92,75,83,NA,NA,NA,NA,90,30,50,40,NA,NA
